row_id,race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,run_index,date,race_name,course,distance,position,time,weight,jockey,pace,last_3f,track_condition,weather,passing_order,odds,popularity
row_0e26aa99272f77c9f554,20260628_函館_11,pw01dud002022100699/97,イガッチ,3,5,浜中 俊,55,6.9,2,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年11月24日,1勝クラス,福島,2000,1,120.6,56,高杉 吏麒,,34.8,良,,2,,2
row_4da00b305694c70ddc8a,20260628_函館_11,pw01dud002022100699/97,イガッチ,3,5,浜中 俊,55,6.9,2,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年11月24日,3歳上1勝クラス,福島,2000,1,120.6,,高杉 吏麒,,36,良,,,,2
row_f65febe49ce4e42c59c5,20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年5月17日,ヴィクトリア,東京,1600,14,91.9,56,M.ディー,,32.8,良,,17,,16
row_72a035b93d0b55132d63,20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年4月19日,福島牝馬S,福島,1800,4,105.9,57,西塚 洸二,,34,良,,14,,10
row_6d7ea695eece227a7e14,20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年3月7日,中山牝馬S,中山,1800,8,107.7,55,佐々木 大輔,,35.2,稍重,,13,,13
row_ecf552308feee9d49e3e,20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年11月16日,エリザベス杯,京都,2200,14,132.4,54,岩田 康誠,,35.9,良,,5,,16
row_6714b9fd6617a954e905,20260628_函館_11,pw01dud002022102296/58,ケリフレッドアスク,6,10,北村 友一,55,16.3,9,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年10月19日,秋華賞,京都,2000,11,119.3,,西塚 洸二,,36,良,,,,11
row_bab3b70212d633ec8a04,20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月5日,大阪杯,阪神,2000,13,120.6,58,岩田 康誠,,38.2,良,,2,,12
row_3bb33d7bcb9909b162b2,20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年2月21日,ダイヤモンド,東京,3400,15,215.7,56,横山 和生,,38.5,良,,2,,6
row_57d6f4fd3fe4b0e18e4d,20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年1月25日,AJCC,中山,2200,12,132.2,57,横山 武史,,34.3,良,,16,,7
row_8cf9d4e90a59e9bd2c81,20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年6月1日,東京優駿,東京,2400,18,149,57,M.デムーロ,,37.6,良,,18,,13
row_79e703ad60a5fd516dcd,20260628_函館_11,pw01dud002022104218/9C,ファウストラーゼン,2,2,小林 美駒,56,10.7,7,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年4月20日,皐月賞,中山,2000,15,118.2,,杉原 誠人,,36,良,,,,8
row_5e3362175c6b1ea3e530,20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年5月9日,エプソムC,東京,1800,4,105.5,57,横山 和生,,33.2,良,,9,,6
