race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260607_東京_11,sanrenpuku,1-7-17,196.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-9,841.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-10,3136.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-11,1165.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-12,5315.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-13,539.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-14,146.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-15,2290.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-16,598.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-8-17,218.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-10,2528.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-11,676.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-12,5298.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-13,562.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-14,109.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-15,1236.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-16,437.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-9-17,148.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-11,2030.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-12,12127.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-13,1816.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-14,491.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-15,4666.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-16,1456.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-10-17,574.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-11-12,5958.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-11-13,493.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-11-14,93.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
